...	LS	MCFS	UMM	URAFS	LDFS	DFS	L21FS	
usps	53.74+2.42	87.95+1.17	73.76+1.98	80.27+2.28	38.19+5.27	88.87+1.35	89.32+1.19	
	0.03	0.03	0.68	4.84	0.03	0.07	1	
	1.9281e-06	0.040746	7.3379e-05	0.00098661	0.00014399	0.20532	NaN	
madelon	61.04+2.19	59.95+1.92	61.06+2.22	58+4.62	48.44+1.65	61.02+2.21	61.55+1.76	
	0.05	0.01	1.1	8.83	0.1	0.03	0.68	
	0.070484	0.0348	0.11939	0.12039	0.00057696	0.34185	NaN	
isolet5	43.58+2.1	72.97+3.13	38+3.08	55.23+4.33	26.04+3.62	48.67+3.25	76.08+3.83	
	0.04	0.15	1.27	4.87	0.23	0.3	2.67	
	0.00014314	0.1761	0.00031492	5.5023e-05	6.21e-06	3.288e-05	NaN	
COIL20	61.46+2.79	88.53+2.55	67+2.43	89.51+1.21	46.5+6.31	88.1+3.12	91.51+2.4	
	0.05	0.19	2.51	6.58	0.76	1.46	13.95	
	0.00017903	0.14524	9.8211e-07	0.12777	0.00026253	0.014078	NaN	
lung_discrete	56.99+10.9	75.9+8	66.59+11.48	71.24+6.64	79.1+7.26	74.55+9.09	81.14+7.38	
	0	0.01	0.13	0.1	0.06	0.09	0.78	
	0.015137	0.024106	0.028581	0.047484	0.031445	0.047484	NaN	
Isolet	53.49+3.48	73.63+3.56	32.72+2.85	61.73+5.81	23.56+2.31	42.73+4.74	76.92+2.94	
	0.04	0.15	1.06	5.55	0.23	0.39	4.25	
	0.0012313	0.14825	2.0291e-05	0.0048974	2.3136e-05	3.3744e-05	NaN	
colon	63.49+14.54	80.33+9.89	70.77+15.6	61.03+11.55	73.9+11.62	68.85+17.34	76.03+11.61	
	0.01	0.03	13.39	8.23	4.57	1.14	66.55	
	0.21105	0.63362	0.5469	0.10206	0.76755	0.5258	NaN	
lung	78.61+4.78	92.7+3.56	83.33+7.73	82.79+8.58	91.12+4.08	89.65+4.02	90.62+4.6	
	0.01	0.09	71.96	85.19	24.24	42.67	538.12	
	0.047965	0.10037	0.16576	0.087305	0.76714	0.3739	NaN	
warpPIE10P	14+5.8	80.57+5.92	9.05+4.62	46.67+5.35	62.95+7.59	71.43+5.43	86.67+8.46	
	0.01	0.09	25.38	29.92	9.72	17.2	248.81	
	0.00030604	0.11508	0.00011206	0.00053066	0.014069	0.014076	NaN	
mnist	42.93+19.23	79.43+1.49	62.28+1.13	66+5.14	37.45+4.59	76.72+1.96	70.78+4.2	
	0.23	0.22	4.85	35.7	0.28	0.58	5.05	
	0.17757	0.016308	0.0067553	0.027993	0.00010468	0.078757	NaN	
